City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
1,Sinazongwe,ZM,75.65,overcast clouds,-17.2614,27.4618,Lakeview Lodge
3,Cape Town,ZA,72.12,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
4,Avarua,CK,78.85,light rain,-21.2078,-159.775,Paradise Inn
8,Hithadhoo,MV,81.99,few clouds,-0.6,73.0833,Scoop Guest House
13,San Cristobal,VE,77.18,broken clouds,7.7669,-72.225,Pirineos
17,Hilo,US,75.61,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
27,Tacna,PE,71.8,clear sky,-18.0056,-70.2483,Hotel Colón Inn
29,Puerto Ayora,EC,82.36,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
31,Rikitea,PF,78.46,clear sky,-23.1203,-134.9692,People ThankYou
34,Butaritari,KI,82.51,few clouds,3.0707,172.7902,Isles Sunset Lodge
46,Pisco,PE,75.25,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
47,Vaini,TO,75.36,light rain,-21.2,-175.2,Keleti Beach Resort
50,Iracoubo,GF,79.03,overcast clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
53,Antofagasta,CL,75.22,clear sky,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
54,Buchanan,LR,85.96,broken clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
60,Cabedelo,BR,86.67,scattered clouds,-6.9811,-34.8339,Hotel Pigalle
63,Atuona,PF,78.31,light rain,-9.8,-139.0333,Villa Enata
65,Kavieng,PG,81.77,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
72,Alyangula,AU,82.27,thunderstorm,-13.8483,136.4192,Groote Eylandt Lodge
73,Porto Novo,BJ,84.02,clear sky,6.4965,2.6036,Tour Eiffel Hotel Benin
84,Gaoual,GN,88.81,clear sky,11.75,-13.2,Hotel koliba
86,Saint-Philippe,RE,80.19,moderate rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
87,Mar Del Plata,AR,71.62,broken clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
89,Lagunillas,VE,85.96,clear sky,10.1301,-71.2595,Casa de Beatriz y Chucho
93,Arraial Do Cabo,BR,85.96,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
96,Georgetown,MY,78.89,scattered clouds,5.4112,100.3354,Cititel Penang
99,Mossendjo,CG,70.54,moderate rain,-2.9506,12.7261,HOTEL D'ASSISE
102,Sinnamary,GF,78.53,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
105,Ibirataia,BR,87.57,broken clouds,-14.0669,-39.6406,Pousada e Restaurante Tambuque
108,Isangel,VU,76.8,moderate rain,-19.55,169.2667,Tanna Lodge
109,Whitianga,NZ,72.01,broken clouds,-36.8333,175.7,Beachside Resort Whitianga
112,Marsh Harbour,BS,75.29,broken clouds,26.5412,-77.0636,Abaco Beach Resort
114,Kankon,IN,70.02,overcast clouds,15.0167,74.0167,Palolem Beach Resort
116,Cabo San Lucas,MX,71.19,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
117,Inhambane,MZ,78.78,few clouds,-23.865,35.3833,Oceano
122,Aden,YE,77.72,few clouds,12.7794,45.0367,Sama Emirate Hotel
124,Manokwari,ID,77.43,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
127,Richards Bay,ZA,73.09,moderate rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
132,Zeerust,ZA,70.61,light rain,-25.5369,26.0751,Kareespruit Game Ranch and Guest House
134,Martapura,ID,75.29,broken clouds,-3.4167,114.85,Montana Hotel Syariah
135,Touros,BR,86.9,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
142,Sao Filipe,CV,74.03,clear sky,14.8961,-24.4956,Hotel Xaguate
144,Mount Isa,AU,71.37,scattered clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
150,Tabou,CI,80.6,clear sky,4.423,-7.3528,hotêl doufoulougou
151,Bambous Virieux,MU,79.21,light rain,-20.3428,57.7575,Casa Tia Villa
158,Gurupa,BR,81.95,moderate rain,-1.405,-51.64,Hotel Vitória
161,Bhatkal,IN,70.59,broken clouds,13.9667,74.5667,Nilawar Palace
162,Pekalongan,ID,80.01,overcast clouds,-6.8886,109.6753,Hotel Sahid Mandarin Pekalongan
165,Fomboni,KM,83.97,light rain,-12.28,43.7425,Auberge les abou
170,Kolokani,ML,78.42,clear sky,13.5728,-8.0339,Lycee Famolo Coulibalibali De Kolokani
171,Grand Gaube,MU,79.38,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
172,Cidreira,BR,78.39,overcast clouds,-30.1811,-50.2056,Hotel Castelo
177,Najran,SA,72.25,clear sky,17.4924,44.1277,محمد هادي ال فطيح
179,Caravelas,BR,77.04,light rain,-17.7125,-39.2481,Pousada dos Navegantes
186,Boundiali,CI,80.82,clear sky,9.5217,-6.4869,Hotel Paysan Boundiali
196,Souillac,MU,79.36,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
203,Carnarvon,AU,80.67,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
205,Labuhan,ID,78.49,overcast clouds,-6.8844,112.2051,DoubleFAG
207,Bonthe,SL,79.93,broken clouds,7.5264,-12.505,Bonthe Holiday Village
211,Ambovombe,MG,75.42,few clouds,-25.1667,46.0833,RELAHARA
215,Monrovia,LR,85.77,few clouds,6.3005,-10.7969,Sunset Inn
217,Alugan,PH,76.6,overcast clouds,12.2188,125.4808,JM Lodge
218,Sumbe,AO,76.89,overcast clouds,-11.2061,13.8437,Hotel Ritz Sumbe
222,Progreso,MX,87.91,clear sky,21.2833,-89.6667,Playa Linda Hotel
223,Necochea,AR,71.04,light rain,-38.5473,-58.7368,dyd -mar Hotel
224,Cuamba,MZ,70.14,light rain,-14.8031,36.5372,Hotel Vision
227,Faanui,PF,80.26,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
229,Neiafu,TO,81.28,broken clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
231,Salalah,OM,75.29,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
236,Bengkulu,ID,73.76,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
237,Itarema,BR,82.98,light rain,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
240,Morondava,MG,83.07,few clouds,-20.2833,44.2833,La Case Bambou
245,Mahebourg,MU,79.25,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
246,Geraldton,AU,70.21,clear sky,-28.7667,114.6,Broadwater Mariner Resort
250,Lorengau,PG,80.01,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
253,Honiara,SB,78.15,overcast clouds,-9.4333,159.95,Heritage Park Hotel
256,Arua,UG,75.99,overcast clouds,3.0201,30.9111,Golden Courts Hotel
257,Chuy,UY,80.74,few clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
258,Kawhia,NZ,73.15,overcast clouds,-38.0651,174.8183,Kawhia Beachside Scape Holiday Park
261,Saint-Pierre,RE,80.28,light rain,-21.3393,55.4781,Lindsey Hôtel
268,Nabire,ID,75.97,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
274,Biak,ID,75.88,overcast clouds,-0.9131,122.8766,Penginapan Kim
277,Kaeo,NZ,71.33,broken clouds,-35.1,173.7833,Bushido Lodge
280,Vila Velha,BR,82.35,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
281,Kudahuvadhoo,MV,81.77,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
284,Dolores,AR,84.92,overcast clouds,-36.3132,-57.6792,Apart Hotel - Arianos
