City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description,Country
0,Punta Arenas,-53.15,-70.9167,57.31,41,0,17.27,clear sky,CL
1,Sinazongwe,-17.2614,27.4618,75.65,82,100,5.1,overcast clouds,ZM
2,Hermanus,-34.4187,19.2345,64.8,62,0,19.35,clear sky,ZA
3,Cape Town,-33.9258,18.4232,72.12,62,0,8.01,clear sky,ZA
4,Avarua,-21.2078,-159.775,78.85,89,75,9.22,light rain,CK
5,Bredasdorp,-34.5322,20.0403,64.27,59,8,10.36,clear sky,ZA
6,Hobart,-42.8794,147.3294,58.26,86,100,4.61,overcast clouds,AU
7,Tuktoyaktuk,69.4541,-133.0374,-25.6,75,20,9.22,mist,CA
8,Hithadhoo,-0.6,73.0833,81.99,73,20,10.09,few clouds,MV
9,Greenwood,34.1668,-82.1165,64.27,42,100,5.01,moderate rain,US
10,Oranjemund,-28.55,16.4333,64.63,80,13,13.38,few clouds,NA
11,Tiksi,71.6872,128.8694,-18.81,98,100,6.42,overcast clouds,RU
12,Iskateley,67.6803,53.1512,-7.65,100,94,6.29,overcast clouds,RU
13,San Cristobal,7.7669,-72.225,77.18,50,65,0.18,broken clouds,VE
14,Sitka,57.0531,-135.33,42.69,87,100,14.97,moderate rain,US
15,Saskylakh,71.9167,114.0833,-6.34,99,100,4.72,light snow,RU
16,Mataura,-46.1927,168.8643,50.49,98,100,1.36,overcast clouds,NZ
17,Hilo,19.7297,-155.09,75.61,71,100,6.91,overcast clouds,US
18,Clyde River,70.4692,-68.5914,-3.77,77,100,21.85,snow,CA
19,East London,-33.0153,27.9116,65.34,94,75,6.91,broken clouds,ZA
20,Mackenzie,55.2999,-123.1698,34.02,86,75,17.27,broken clouds,CA
21,Lompoc,34.6391,-120.4579,67.14,50,0,4.61,clear sky,US
22,Busselton,-33.65,115.3333,68.09,59,0,5.19,clear sky,AU
23,Torbay,47.6666,-52.7314,32.58,96,100,13.8,fog,CA
24,Kodiak,57.79,-152.4072,31.51,86,100,0.0,overcast clouds,US
25,Flinders,-34.5833,150.8552,66.79,77,87,8.01,overcast clouds,AU
26,Letnyaya Stavka,45.4306,43.4472,33.96,99,100,11.23,snow,RU
27,Tacna,-18.0056,-70.2483,71.8,56,0,12.66,clear sky,PE
28,Ilulissat,69.2167,-51.1,17.62,53,75,16.11,broken clouds,GL
29,Puerto Ayora,-0.7393,-90.3518,82.36,87,83,5.99,broken clouds,EC
30,Horta,38.5333,-28.6333,60.44,77,40,16.11,scattered clouds,PT
31,Rikitea,-23.1203,-134.9692,78.46,71,9,10.63,clear sky,PF
32,Rhymney,51.76,-3.2855,43.52,85,100,14.03,overcast clouds,GB
33,Ancud,-41.8697,-73.8203,68.23,69,60,9.86,broken clouds,CL
34,Butaritari,3.0707,172.7902,82.51,73,14,19.1,few clouds,KI
35,Kaniama,-7.5667,24.1833,65.25,94,99,2.77,overcast clouds,CD
36,Ponta Do Sol,32.6667,-17.1,69.01,81,100,1.19,overcast clouds,PT
37,Barrow,71.2906,-156.7887,-29.18,75,20,8.05,few clouds,US
38,Sabzevar,36.2126,57.6819,48.49,35,0,4.7,clear sky,IR
39,Plettenberg Bay,-34.0527,23.3716,65.41,68,100,8.93,overcast clouds,ZA
40,San Lazaro,18.0387,-88.6622,83.98,61,25,4.72,scattered clouds,BZ
41,Ushuaia,-54.8,-68.3,53.22,54,0,13.8,clear sky,AR
42,San Nicolas Guadalupe,19.6125,-100.0333,62.38,22,4,7.96,clear sky,MX
43,Kulu,39.0951,33.0799,21.33,81,3,7.54,clear sky,TR
44,Bereznik,62.8551,42.7072,-7.78,100,97,3.15,overcast clouds,RU
45,Marawi,7.9986,124.2928,64.65,92,100,2.42,overcast clouds,PH
46,Pisco,-13.7,-76.2167,75.25,60,0,10.36,clear sky,PE
47,Vaini,-21.2,-175.2,75.36,100,100,9.22,light rain,TO
48,Inirida,3.8653,-67.9239,90.34,55,66,1.54,broken clouds,CO
49,Bluff,-46.6,168.3333,50.81,63,77,6.78,broken clouds,NZ
50,Iracoubo,5.4802,-53.2011,79.03,80,100,8.79,overcast clouds,GF
51,Nanortalik,60.1432,-45.2371,11.64,75,100,45.16,light snow,GL
