City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Angoche,61.95,159.2333,21.24,63,100,27.2,RU,2022-01-31 23:42:00
1,Ponta Do Sol,32.6667,-17.1,66.0,83,32,12.95,PT,2022-01-31 23:44:38
2,Priargunsk,50.3691,119.1012,-29.15,100,53,0.38,RU,2022-01-31 23:46:02
3,San Cristobal,7.7669,-72.225,75.38,81,81,2.55,VE,2022-01-31 23:42:24
4,Kapaa,22.0752,-159.319,76.12,71,0,1.01,US,2022-01-31 23:42:06
5,Laguna,38.421,-121.4238,64.63,53,0,1.99,US,2022-01-31 23:46:03
6,Coos Bay,43.3665,-124.2179,49.86,90,40,4.61,US,2022-01-31 23:46:03
7,Lowestoft,52.4752,1.7516,38.3,87,25,13.71,GB,2022-01-31 23:46:04
8,Bengkulu,-3.8004,102.2655,75.85,86,100,3.87,ID,2022-01-31 23:45:58
9,Hermanus,-34.4187,19.2345,73.9,88,2,9.01,ZA,2022-01-31 23:46:04
10,Ribeira Grande,38.5167,-28.7,59.83,75,14,14.32,PT,2022-01-31 23:46:04
11,Atuona,-9.8,-139.0333,78.46,77,14,18.12,PF,2022-01-31 23:46:05
12,Mangrol,21.1167,70.1167,69.49,80,0,10.54,IN,2022-01-31 23:46:05
13,Saldanha,-33.0117,17.9442,66.25,77,16,6.76,ZA,2022-01-31 23:46:06
14,Mattru,7.6244,-11.8332,72.55,95,38,0.51,SL,2022-01-31 23:46:06
15,Busselton,-33.65,115.3333,64.04,53,1,17.31,AU,2022-01-31 23:46:06
16,Punta Arenas,-53.15,-70.9167,46.51,81,40,24.16,CL,2022-01-31 23:42:03
17,Sanmenxia,34.7747,111.1814,25.83,50,17,1.72,CN,2022-01-31 23:46:07
18,Cape Town,-33.9258,18.4232,74.12,80,0,2.3,ZA,2022-01-31 23:46:07
19,Orbetello,42.4408,11.2196,47.62,87,34,8.05,IT,2022-01-31 23:46:08
20,Batagay-Alyta,67.8006,130.4114,-21.48,100,98,3.2,RU,2022-01-31 23:44:37
21,Castro,-24.7911,-50.0119,63.16,92,13,3.71,BR,2022-01-31 23:46:08
22,Atar,20.5169,-13.0499,80.06,13,100,8.19,MR,2022-01-31 23:44:39
23,Saint-Philippe,-21.3585,55.7679,78.39,80,100,14.81,RE,2022-01-31 23:46:09
24,Nelson Bay,-32.7167,152.15,85.28,74,10,1.99,AU,2022-01-31 23:46:09
25,Isangel,-19.55,169.2667,82.51,89,100,5.75,VU,2022-01-31 23:46:09
26,Tiksi,71.6872,128.8694,-10.71,100,100,6.58,RU,2022-01-31 23:46:10
27,Taltal,-25.4,-70.4833,66.15,77,5,4.88,CL,2022-01-31 23:46:10
28,Rikitea,-23.1203,-134.9692,78.01,67,66,4.72,PF,2022-01-31 23:46:10
29,Hithadhoo,-0.6,73.0833,82.11,75,26,11.68,MV,2022-01-31 23:46:11
30,Lar,26.2039,83.9717,50.99,85,0,4.63,IN,2022-01-31 23:46:11
31,Abramovka,51.1886,41.0202,28.72,93,99,16.02,RU,2022-01-31 23:46:11
32,Hamilton,39.1834,-84.5333,36.79,67,73,3.13,US,2022-01-31 23:43:22
33,Cernay,47.8097,7.177,38.62,90,69,9.1,FR,2022-01-31 23:46:12
34,Jamestown,42.097,-79.2353,29.84,50,1,5.75,US,2022-01-31 23:46:12
35,Kinarut,5.8231,116.0466,77.02,94,20,3.44,MY,2022-01-31 23:46:13
36,Barrow,71.2906,-156.7887,-12.98,77,20,10.36,US,2022-01-31 23:46:13
37,Saskylakh,71.9167,114.0833,-28.8,100,80,2.24,RU,2022-01-31 23:46:13
38,Bandarbeyla,9.4942,50.8122,76.44,77,58,15.1,SO,2022-01-31 23:46:14
39,Roma,43.2128,-75.4557,19.54,67,0,0.0,US,2022-01-31 23:46:14
40,Puerto Ayora,-0.7393,-90.3518,74.55,93,72,1.99,EC,2022-01-31 23:46:15
41,Altamira,-3.2033,-52.2064,73.62,98,99,2.01,BR,2022-01-31 23:46:15
42,Egvekinot,66.3167,-179.1667,1.6,70,85,13.33,RU,2022-01-31 23:46:15
43,Coihaique,-45.5752,-72.0662,59.61,63,75,8.05,CL,2022-01-31 23:46:16
44,Sidhi,24.4167,81.8833,55.09,55,1,3.71,IN,2022-01-31 23:46:16
45,Gigmoto,13.7796,124.39,77.85,86,53,12.95,PH,2022-01-31 23:46:16
46,Georgetown,5.4112,100.3354,78.89,88,20,3.0,MY,2022-01-31 23:44:36
47,Port Elizabeth,-33.918,25.5701,73.69,94,90,9.22,ZA,2022-01-31 23:47:17
48,Faya,18.3851,42.4509,53.71,82,4,6.17,SA,2022-01-31 23:47:17
49,Traverse City,44.7631,-85.6206,28.94,70,100,6.91,US,2022-01-31 23:47:18
50,Ushuaia,-54.8,-68.3,42.46,87,40,24.16,AR,2022-01-31 23:42:19
51,Vanderhoof,54.0166,-124.0198,19.62,94,99,1.99,CA,2022-01-31 23:47:18
52,Victoria,22.2855,114.1577,58.95,92,95,1.01,HK,2022-01-31 23:46:14
53,Almaznyy,48.0448,40.045,32.14,89,89,13.44,RU,2022-01-31 23:47:19
54,Butaritari,3.0707,172.7902,81.45,79,78,13.31,KI,2022-01-31 23:47:19
55,Kaitangata,-46.2817,169.8464,71.92,70,65,5.79,NZ,2022-01-31 23:47:19
56,Bethel,41.3712,-73.414,25.66,91,60,1.61,US,2022-01-31 23:47:20
57,Mar Del Plata,-38.0023,-57.5575,64.42,57,0,1.99,AR,2022-01-31 23:47:20
58,Talnakh,69.4865,88.3972,6.21,95,100,8.93,RU,2022-01-31 23:43:24
59,New Norfolk,-42.7826,147.0587,82.71,42,27,4.0,AU,2022-01-31 23:47:20
60,Constitucion,-35.3333,-72.4167,60.04,71,0,10.54,CL,2022-01-31 23:47:21
61,Ahipara,-35.1667,173.1667,71.6,79,99,15.5,NZ,2022-01-31 23:47:21
62,Korla,41.7597,86.1469,21.79,56,50,1.23,CN,2022-01-31 23:47:21
63,Matara,5.9485,80.5353,73.06,89,16,9.13,LK,2022-01-31 23:47:22
64,Bubaque,11.2833,-15.8333,77.52,67,88,13.18,GW,2022-01-31 23:47:22
65,Port Alfred,-33.5906,26.891,74.95,96,100,5.82,ZA,2022-01-31 23:47:23
66,Tasiilaq,65.6145,-37.6368,8.76,98,96,5.26,GL,2022-01-31 23:47:23
67,Kavaratti,10.5669,72.642,80.46,72,2,10.54,IN,2022-01-31 23:47:23
68,Ancud,-41.8697,-73.8203,60.42,75,11,8.12,CL,2022-01-31 23:47:24
69,Avarua,-21.2078,-159.775,71.65,100,100,9.22,CK,2022-01-31 23:47:24
70,Vaini,-21.2,-175.2,86.16,79,75,10.36,TO,2022-01-31 23:47:24
71,Aasiaat,68.7098,-52.8699,5.9,80,100,10.07,GL,2022-01-31 23:47:25
72,Orito,0.6766,-76.8771,72.23,95,99,3.94,CO,2022-01-31 23:47:25
73,Severo-Kurilsk,50.6789,156.125,29.05,74,100,21.43,RU,2022-01-31 23:47:25
74,Mataura,-46.1927,168.8643,75.47,50,65,1.88,NZ,2022-01-31 23:47:26
75,College,64.8569,-147.8028,-7.42,73,0,0.0,US,2022-01-31 23:47:26
76,Bambous Virieux,-20.3428,57.7575,80.22,78,75,14.97,MU,2022-01-31 23:43:13
77,Carnarvon,-24.8667,113.6333,78.87,73,0,10.36,AU,2022-01-31 23:47:27
78,Djenne,13.9061,-4.5533,74.23,14,24,8.99,ML,2022-01-31 23:47:27
79,Synya,65.3718,58.0387,1.71,98,100,4.56,RU,2022-01-31 23:47:28
80,Dillon,34.4166,-79.3712,49.01,63,46,7.87,US,2022-01-31 23:47:28
81,Porto Novo,6.4965,2.6036,80.42,79,60,4.41,BJ,2022-01-31 23:47:28
82,Nuristan,35.3,70.8333,-0.2,67,7,14.97,AF,2022-01-31 23:47:28
83,Nova Granada,-20.5339,-49.3142,75.45,90,100,2.77,BR,2022-01-31 23:47:29
84,Lebu,-37.6167,-73.65,58.3,75,0,17.43,CL,2022-01-31 23:47:30
85,Vanavara,60.34,102.2797,-11.22,100,91,1.97,RU,2022-01-31 23:47:30
86,Dutse,11.7594,9.3392,58.62,24,31,8.63,NG,2022-01-31 23:47:30
87,Bredasdorp,-34.5322,20.0403,74.28,88,23,4.61,ZA,2022-01-31 23:47:31
88,Boende,-0.2167,20.8667,71.49,68,98,2.35,CD,2022-01-31 23:47:31
89,Marang,5.2056,103.2059,75.11,87,58,3.29,MY,2022-01-31 23:47:31
90,Berlevag,70.8578,29.0864,22.1,75,70,8.21,NO,2022-01-31 23:47:32
91,Panaba,21.2833,-88.2667,68.94,65,53,13.58,MX,2022-01-31 23:43:30
92,Mahebourg,-20.4081,57.7,79.25,78,75,14.97,MU,2022-01-31 23:44:47
93,San Patricio,28.017,-97.5169,70.21,97,97,11.1,US,2022-01-31 23:48:32
94,Bluff,-46.6,168.3333,75.79,80,37,3.31,NZ,2022-01-31 23:48:33
95,Kendari,-3.945,122.4989,78.55,85,100,2.59,ID,2022-01-31 23:45:56
96,Torbay,47.6666,-52.7314,31.75,76,75,14.97,CA,2022-01-31 23:48:33
97,Saint George,37.1041,-113.5841,63.07,16,0,1.01,US,2022-01-31 23:48:33
98,Weligama,5.9667,80.4167,72.73,90,9,6.31,LK,2022-01-31 23:48:34
99,Dikson,73.5069,80.5464,-2.56,90,100,18.07,RU,2022-01-31 23:48:34
100,Saint-Denis,48.9167,2.3333,38.75,74,0,3.44,FR,2022-01-31 23:48:35
101,Ust-Omchug,61.15,149.6333,-8.52,97,94,6.91,RU,2022-01-31 23:48:35
102,Nome,64.5011,-165.4064,17.67,45,0,10.36,US,2022-01-31 23:46:20
103,Male,4.1748,73.5089,82.35,83,40,13.8,MV,2022-01-31 23:48:35
104,Asau,46.4333,26.4,32.95,69,100,3.98,RO,2022-01-31 23:48:36
105,Greenville,35.6127,-77.3663,44.74,63,0,0.0,US,2022-01-31 23:46:48
